id,certification,nudity,violence,profanity,drugs,intense_scene,game_id
11,"Argentina:18  Australia:R18+ (ACB)  Brazil:16 (DJCTQ)  France:18 (PEGI)  Germany:18 (USK)  Ireland:18 (PEGI)  Japan:Z (CERO, cut)  New Zealand:R18 (OFLC)  Russia:18+ (RARS)  Singapore:M18  South Korea:18 (GRAC)  Sweden:15  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)",Some minor flirting between Joel and Tess during the Summer chapter but nothing explicitly sexual.,"During gameplay, you can see some blood.",--,--,The clickers are very disturbing,91e8c4f7-3372-4b0e-abe0-e4df2fe51ffc
12,Argentina:18  Australia:R18+  Brazil:16  France:18  Germany:18  Italy:VM18  Japan:Z  Mexico:C  New Zealand:R16  Poland:18  Russia:18+  Saudi Arabia:(banned)  Singapore:M18  South Korea:18  Spain:18  United Kingdom:18 (PEGI)  United States:M,"This game only is severe if you make it that way. The developers added multiple options to bypass scenes of sexual content/nudity. You can either totally avoid the ""romance"" missions entirely, you can play the ""romance"" missions but decline the romance option, or you can start the ""romance"" option but skip the cutscene before it even starts. There are 3 scenes of sexual content in this game and they can all be skipped just by avoiding them, which is very easy.","Geralt is a monster hunter, so the most common enemies are monsters.","150+ uses of fuck and at least 10 uses of cunt throughout the whole game including side quests and dlc, swearing is infrequent though due to the games length.",Fisstech in the game is considered as Cocaine. Although this is not stated in the game.,The mature content in this game is far less blunt than in 'Game Of Thrones'.,621e4265-f73e-4105-978d-252495659c05
13,Argentina:18  Australia:R18+  Brazil:16  France:18  Germany:18  Italy:VM18  Japan:Z  Mexico:C  New Zealand:R16  Poland:18  Russia:18+  Saudi Arabia:(banned)  Singapore:M18  South Korea:18  Spain:18  United Kingdom:18 (PEGI)  United States:M,No nudity unless you chose to do stuff with it,5/10 because the depicted violence is sometimes bloody but can sometimes be infrequent depending on what you do in the game.,This is a long game so you would hear about 2 or 5 swears every hour or so but some characters swear very frequently.,Not a huge amount of drug use throughout .,Has got some very disturbing and scary monsters.,621e4265-f73e-4105-978d-252495659c05
14,Argentina:18  Australia:R18+  Brazil:16  France:18  Germany:18  Italy:VM18  Japan:Z  Mexico:C  New Zealand:R16  Poland:18  Russia:18+  Saudi Arabia:(banned)  Singapore:M18  South Korea:18  Spain:18  United Kingdom:18 (PEGI)  United States:M,"In some countries this is 14+ For violence, language, and optional sexuality","When you fight against monsters the level of violence is just moderate, but when against humans its often severe.","Although the game does not have an option to remove the language, there is an option to tone it down in the options menu.","The game also features different variations of alcohol which the player can consume, and doing so causes a blurring effect on the screen. Non-playable characters in the game also consume alcohol somewhat frequently.",The games are mich more mild than the tv show so they cant be compared to each other in the age ratings,621e4265-f73e-4105-978d-252495659c05
15,Argentina:18  Australia:R18+  Brazil:16  France:18  Germany:18  Italy:VM18  Japan:Z  Mexico:C  New Zealand:R16  Poland:18  Russia:18+  Saudi Arabia:(banned)  Singapore:M18  South Korea:18  Spain:18  United Kingdom:18 (PEGI)  United States:M,"All sexual scenes can be skipped, avoided and prevented. This game is sutable for 14 and up.","Very violent fights if your fighting other humans. You can decapitate them, and do finishing animations on them, that end in gory results",--,--,"'The Witcher 3: Wild Hunt' is an action role-playing game set in a medieval fantasy world. The main protagonist is the witcher 'Geralt of Rivia', a monster hunter for hire. Geralt has to confront a formidable enemy known as the Wild Hunt, which is a mythical cavalcade of ghastly riders capable of destroying entire settlements overnight.",621e4265-f73e-4105-978d-252495659c05
16,Argentina:18  Australia:R18+  Brazil:16  France:18  Germany:18  Italy:VM18  Japan:Z  Mexico:C  New Zealand:R16  Poland:18  Russia:18+  Saudi Arabia:(banned)  Singapore:M18  South Korea:18  Spain:18  United Kingdom:18 (PEGI)  United States:M,It's just like in movies where you can skip the inappropriate scenes and still enjoy the game.,"During combat, the player can utilise swords, a crossbow, explosives and magic powers to fight human enemies as well as creatures and monsters ranging from the undead, spirits, harpies, bears, and werewolves. The player will spend most of his/her time with non-violent activities, although combat happens very often and you'll usually encounter it at least once every mission.",--,--,Players explore a fantasy world in which monsters and ghosts are its inhabitants. Some creatures have vivid art styles which can be scary. Engaging in conflict with them can be more distressing than with other enemies.,621e4265-f73e-4105-978d-252495659c05
17,Argentina:18  Australia:R18+ (ACB)  Brazil:18 (BARS)  France:18  Germany:18 (USK)  Japan:Z (CERO)  Mexico:C  New Zealand:R18 (OFLC)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB),Mild,Killing is done for survival. Though it includes shooting and melee attacks. Shooting results in some blood.,A couple F bombs. Other milder profanities used,Mild,"Due to some of it's content, it's best left for older teens.",a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
18,Argentina:18  Australia:R18+ (ACB)  Brazil:18 (BARS)  France:18  Germany:18 (USK)  Japan:Z (CERO)  Mexico:C  New Zealand:R18 (OFLC)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB),Joel and Tess flirt a little.,"In the settings, gore can be turned off. Turning this off disables any nudity, dismemberments, and any over-dramatic blood bursts. It should be noted that there is still blood, it's just much less graphic.","Very frequent use of ""fuck, motherfucker, fucked, what the fuck, shit, dick, damn, goddamn, ass, asshole, hell, etc."" Along with infrequent use of ""cocksucker"" from the NPC enemies. The majority of profanity comes from Ellie.",David smokes a cigar in one scene.,"The bloaters and clickers may be scary to younger audiences, especially considering that they jump out of nowhere most of the time.",a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
19,Argentina:18  Australia:R18+ (ACB)  Brazil:18 (BARS)  France:18  Germany:18 (USK)  Japan:Z (CERO)  Mexico:C  New Zealand:R18 (OFLC)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB),"In the 'Left Behind' DLC, Ellie finds a skull toy, which does the same thing a magic 8 ball. At some point, Ellie asks, ""am I ever going to get boobs or what?""",This remake adds much more gore than the previous versions.,You can use alcohol to craft things like First aid kits. Empty beer bottles are frequently found around the map; used to create attention.,--,--,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
20,Argentina:18  Australia:R18+ (ACB)  Brazil:18 (BARS)  France:18  Germany:18 (USK)  Japan:Z (CERO)  Mexico:C  New Zealand:R18 (OFLC)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB),--,"Shotguns result in dismemberment. This is extremely realistic, and much more gory than games like Red Dead Redemption 2 and other titles that are known for gore.",--,--,--,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
21,Argentina:18  Australia:R18+ (ACB)  Brazil:18 (BARS)  France:18  Germany:18 (USK)  Japan:Z (CERO)  Mexico:C  New Zealand:R18 (OFLC)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB),--,"Sometimes, after enemies are wounded, they will beg for you to spare them. Almost all of the time, the choice is at will of the player to either kill them or allow them to live.",--,--,--,a34f0d6e-ee24-4e92-a1f1-136d75bb3db7
22,"Australia:M  Brazil:10  Germany:12  Japan:B (CERO)  Mexico:B (SMECCV)  Singapore:G  South Africa:13 (H, V, PPS, Cl)  South Korea:12  Spain:12 (PEGI)  United Kingdom:12 (PEGI)  United States:E10+","Small innuendos here and there. Nothing too bad. The great fairy's have a suggestive amount of cleavage, and have suggestive behavior towards Link.",Violence is mostly the same as the previous game. Enemies puff into dust when defeated. Along with animals when hunted. Very mild blood.,"None, other than very mild things like, ""What the-"" etc.",None,"Ganondorf is much more frightening and scary than in the previous game. Within the first 10 minutes of gameplay, we see him. His body contorts and his bones snap into different places, which will most likely scare younger audiences.",025ea231-da64-407d-94aa-715e7751ba0a
23,"Australia:M  Brazil:10  Germany:12  Japan:B (CERO)  Mexico:B (SMECCV)  Singapore:G  South Africa:13 (H, V, PPS, Cl)  South Korea:12  Spain:12 (PEGI)  United Kingdom:12 (PEGI)  United States:E10+","Link can add and remove clothes at the players will, however you can only strip down to his underwear, which are more like boxer shorts.",--,--,"Plants can be found around the map that will cause Link to have different effects on his body. (For example, certain mushrooms will cause his body to glow in the dark) However, there are no plants or effects that display any kinds of intoxication.",A character is punched to death by Ganondorf. The first onscreen death from The Breath of the Wild series.,025ea231-da64-407d-94aa-715e7751ba0a
24,"Australia:M  Brazil:10  Germany:12  Japan:B (CERO)  Mexico:B (SMECCV)  Singapore:G  South Africa:13 (H, V, PPS, Cl)  South Korea:12  Spain:12 (PEGI)  United Kingdom:12 (PEGI)  United States:E10+",--,--,--,There's a drink in the game called Noble pursuit that's implied to have alcohol. Nothing happens when consumed by the player,--,025ea231-da64-407d-94aa-715e7751ba0a
25,Argentina:18  Australia:R18+  Austria:18 (PEGI)  Brazil:18  China:(Banned) (uncut)  France:18 (PEGI)  Germany:18  Japan:Z (CERO)  Malaysia:(Banned)  Malaysia:18 (2015)  Mexico:C  New Zealand:R18  Russia:18+  Serbia:12  Singapore:M18  South Korea:18  Spain:18 (PEGI)  Sweden:15  Thailand:(Banned) (physical edition)  Turkey:18+ (PEGI)  United Kingdom:18 (PEGI)  United States:M,"Althouth Gta online comes with this, it is an entirely different game and much milder. The story has some nudity, like Trevor's butt, but it's mild. The only reason this is severe is because of the optional strip club.","You can kill people as you wish but you will face the consequences for your behavior, which is what happens pretty much in real life, and the violence here isnt extremely graphic but is realistic, not helped by the fact that this game has incredibly realistic and highly detailed graphics that make the violent content look more ""in-your-face"", although the graphics are really nice to look at.",In both the campaign and in online you can flip people off.,"The drugs are completely optional, and you are never forced to do drugs.","It should be mentioned that while this game is graphic in terms in content, nowadays it's actually quite tame, though it's still rather mature.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
26,Argentina:18  Australia:R18+  Austria:18 (PEGI)  Brazil:18  China:(Banned) (uncut)  France:18 (PEGI)  Germany:18  Japan:Z (CERO)  Malaysia:(Banned)  Malaysia:18 (2015)  Mexico:C  New Zealand:R18  Russia:18+  Serbia:12  Singapore:M18  South Korea:18  Spain:18 (PEGI)  Sweden:15  Thailand:(Banned) (physical edition)  Turkey:18+ (PEGI)  United Kingdom:18 (PEGI)  United States:M,"Crude sexual references are rarely made. But when they show up they can be explicit and go on par with movies like ""The Hangover"". Nevertheless, they're somewhat and are used for comedic effect. Every time they are in cutscenes, they can be skipped at the will of the player.",Much more violent than its predecessors.,Name-calling and insults will be common for most players.,"Characters can buy drugs (weed, haddish, tranquilizers, cocaine, meth, mushrooms, etc;) and sell them","Overall, this game is much rougher than its predecessors. And the content is very strong when speaking of language, drug use, and violence.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
27,Argentina:18  Australia:R18+  Austria:18 (PEGI)  Brazil:18  China:(Banned) (uncut)  France:18 (PEGI)  Germany:18  Japan:Z (CERO)  Malaysia:(Banned)  Malaysia:18 (2015)  Mexico:C  New Zealand:R18  Russia:18+  Serbia:12  Singapore:M18  South Korea:18  Spain:18 (PEGI)  Sweden:15  Thailand:(Banned) (physical edition)  Turkey:18+ (PEGI)  United Kingdom:18 (PEGI)  United States:M,"Michael draws a penis as a joke, very easy to miss.","Pretty much the entire game is filled with violence although most of it isn't especially graphic or gory, but is pretty bloody regardless in some cases. Shootouts are very frequent and when they occur they are quite intense and contain some blood although never any gore.","1049 f words. A lot of it is on cutscenes that can be skipped. The campaign is also 30 hours long, which makes it not as frequent. (most profane game in the whole series)","Lots of drug use and references, including tobacco, alcohol, cannabis, cocaine, hallucinogens, inhalants, etc.","The violence in this game is pretty intense. However, the tone is generally very goofy and comedic.",50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
28,Argentina:18  Australia:R18+  Austria:18 (PEGI)  Brazil:18  China:(Banned) (uncut)  France:18 (PEGI)  Germany:18  Japan:Z (CERO)  Malaysia:(Banned)  Malaysia:18 (2015)  Mexico:C  New Zealand:R18  Russia:18+  Serbia:12  Singapore:M18  South Korea:18  Spain:18 (PEGI)  Sweden:15  Thailand:(Banned) (physical edition)  Turkey:18+ (PEGI)  United Kingdom:18 (PEGI)  United States:M,In the cutscene before the mission scouting the port its possible to see Trevors butt for a split second,"Unlike Red Dead Redemption 2, GTA V does not feature dismemberment. However the violence here is much more frequent","""Cunt"" is used 7 times in the whole game",GTA has an online mode that excludes multiple instances of drug use as it's mostly in the cut scenes. While your in the game mode you can not purchase or sell drugs although people can be seen drinking and or smoking on the footpaths of the map.,The game features a mode called online which lets you interact with your friends or other players.,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
29,Argentina:18  Australia:R18+  Austria:18 (PEGI)  Brazil:18  China:(Banned) (uncut)  France:18 (PEGI)  Germany:18  Japan:Z (CERO)  Malaysia:(Banned)  Malaysia:18 (2015)  Mexico:C  New Zealand:R18  Russia:18+  Serbia:12  Singapore:M18  South Korea:18  Spain:18 (PEGI)  Sweden:15  Thailand:(Banned) (physical edition)  Turkey:18+ (PEGI)  United Kingdom:18 (PEGI)  United States:M,"In the loading screen, there can sometimes (but almost always) be a woman wearing a bikini. If you're playing on the PS5 remaster, you will always see the woman.",During online mode no graphic violence is present as most of it occurs during the cutscenes of the campaign. While in online mode you are able to interact with other players and complete missions and tasks.,"The ""online mode"" features very minimal language as there aren't characters just online people",Optional drug use in online mode,You can remove the nudity and cussing by skipping the cut scenes and avoiding places that require nudity and cussing. Doing this makes it almost on par with red dead redemption 2.,50b19c08-b5c0-4f61-bc4f-5ff28fdc9d3c
30,Argentina:T  Australia:MA15+ (ACB)  Brazil:14 (DJCTQ)  France:16  Germany:16 (USK)  Japan:C (CERO)  New Zealand:R13 (OFLC)  Russia:18+ (RARS)  Singapore:ADV16  South Korea:18 (GRAC)  Sweden:11  United Kingdom:16 (PEGI)  United States:T (ESRB),mild,"A corpse impaled on a spike is found near the end of the game, there's excessive blood splatter depicted.",Sh*t said twice. Damn said infrequently,Sully smokes a cigar in one scene.,Much darker than its predecessors.,003c1cb2-2333-4a28-a76c-4b1bbac13eae
31,Argentina:T  Australia:MA15+ (ACB)  Brazil:14 (DJCTQ)  France:16  Germany:16 (USK)  Japan:C (CERO)  New Zealand:R13 (OFLC)  Russia:18+ (RARS)  Singapore:ADV16  South Korea:18 (GRAC)  Sweden:11  United Kingdom:16 (PEGI)  United States:T (ESRB),Two characters kiss once,"Like all uncharted games, there are fistfights and gunfights. Little blood is seen, but no bullet wound.",--,Sam smokes cigarettes in some scenes,"Game definitely feels more grounded, as it's just groups of people chasing treasure, no creatures or monsters, and is the most brutal in the franchise, but nothing too bad, still Pg 13 levels of violence",003c1cb2-2333-4a28-a76c-4b1bbac13eae
32,Argentina:T  Australia:MA15+ (ACB)  Brazil:14 (DJCTQ)  France:16  Germany:16 (USK)  Japan:C (CERO)  New Zealand:R13 (OFLC)  Russia:18+ (RARS)  Singapore:ADV16  South Korea:18 (GRAC)  Sweden:11  United Kingdom:16 (PEGI)  United States:T (ESRB),"Also, another kiss scene later on the game","The prison mission has some pretty brutal fist fighting, you smash a guy's face off a wall, and his nose begins to leak blood, All kinds of guns that result in sometimes bloody gunfights.",--,"Nate often insults Sam for his smoking habit,         In one mission a cigarette lighter is quite significant","Unlike the other three games there are no monsters, but there are some moments where it gets creepy. For example a pirate cut off people jaws and arms and hung the bones around a cave. Also there are creepy mummys that explode randomly.",003c1cb2-2333-4a28-a76c-4b1bbac13eae
33,"Australia:MA15+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z  New Zealand:R13 (OFLC)  Portugal:M/18 (CCE)  Singapore:M18  South Korea:18 (GRAC)  Spain:18 (PEGI)  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M (ESRB)  United States:16+ (LV, suggestion, new rating, Crude Humor)  United Arab Emirates:21+ (NMC)","Kratos, the main protagonist, is wearing a revealing scarf instead of a shirt. Only male nipples are shown.","Kratos kills monsters. Depending on which ones you're fighting, their blood will either be blue or orange. There are some monsters who do emit red blood though, such as some bosses and wolves. Kratos emits black blood.",F**k is used frequently.,One scene shows Kratos sharing wine from his homeland with his son.,The monsters can be frightening.,40cb3374-86a6-494e-b13a-9929e3242514
34,"Australia:MA15+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z  New Zealand:R13 (OFLC)  Portugal:M/18 (CCE)  Singapore:M18  South Korea:18 (GRAC)  Spain:18 (PEGI)  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M (ESRB)  United States:16+ (LV, suggestion, new rating, Crude Humor)  United Arab Emirates:21+ (NMC)","The Dwarf Brok utters a few jokes containing sexual reference, but they are extremely infrequent and easily missed.","In boss battles (where the enemy emits red blood), the impact of the violence is made more mild by its stylized portrayal. You can kill elemental monsters by every trick in the book.",Language can be taken out of the story,--,"While this game is far less violent than the previous games, the violence is still graphic and fast-paced, which could disturb some. It also has a more mature tone than any other game in the series, mainly because it features a lot of emotional moments between Kratos and his son, and this game is basically the Logan (2017) of the ""God of War"" franchise. Nonetheless, this is still a great game made for anyone who loves games with a good, satisfying story.",40cb3374-86a6-494e-b13a-9929e3242514
35,"Australia:MA15+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z  New Zealand:R13 (OFLC)  Portugal:M/18 (CCE)  Singapore:M18  South Korea:18 (GRAC)  Spain:18 (PEGI)  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M (ESRB)  United States:16+ (LV, suggestion, new rating, Crude Humor)  United Arab Emirates:21+ (NMC)","Depending on what armor he's wearing, Kratos is shirtless. Some armor covers his full chest.",Violence is mildered by the emotional father-son relationship and ad the fact that you aren't battling humans (except a humanoid god at the very beginning and at the end and norse warriors in the middle of the game).,"At some point in the game, you unlock a summonable squirrel made from pure energy. Whenever you summon him, he finds hidden healthstones or hacksilver for you to collect. Whenever he does this he comedically insults Kratos and Atreus. Some of these insults are vulgar.",--,"If this game was adapted into a film, it would be rated R for strong brutal violence, disturbing images and some language.",40cb3374-86a6-494e-b13a-9929e3242514
36,"Australia:MA15+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z  New Zealand:R13 (OFLC)  Portugal:M/18 (CCE)  Singapore:M18  South Korea:18 (GRAC)  Spain:18 (PEGI)  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M (ESRB)  United States:16+ (LV, suggestion, new rating, Crude Humor)  United Arab Emirates:21+ (NMC)",--,"Violence throughout, including a cutscene where you kill a man as well as imaginary creatures you can kill.","A dwarf named his mount ""f**king gratitude""",--,"The monsters can be frightening,it has a lot of emotional moments between kratos and his son atreus",40cb3374-86a6-494e-b13a-9929e3242514
37,"Australia:MA15+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (USK)  Japan:Z  New Zealand:R13 (OFLC)  Portugal:M/18 (CCE)  Singapore:M18  South Korea:18 (GRAC)  Spain:18 (PEGI)  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M (ESRB)  United States:16+ (LV, suggestion, new rating, Crude Humor)  United Arab Emirates:21+ (NMC)",--,"Overall, while the level of violence in this game is much lower than the one in its predecessors and it is done out of self defense, though the violence is still severe and intense.",If you get a photo mode mod when the stranger gets thrown of the ledge he flips of Kratos,--,--,40cb3374-86a6-494e-b13a-9929e3242514
38,Australia:MA15+  Australia:R18+ (re-rating)  France:18  Germany:16  Japan:D (CERO)  Mexico:C  New Zealand:R13  Singapore:ADV16  South Korea:18  United Kingdom:16 (PEGI)  United States:M,A female character is shown with scales covering her with the exception of her parts of her stomach and back. Nothing sexual takes place.,"Normal blood splatter, nothing much.",--,"Various potions are seen throughout the game, but there are no drugs or alcohol use.","The game's brilliant art direction is very successful at portraying a spooky, disquieting world and disturbing character design for monsters. All this makes it creepy and non-suitable for pre-teens.",9437cc3e-e4be-4db9-b7ef-ba99f4573529
39,Australia:MA15+  Australia:R18+ (re-rating)  France:18  Germany:16  Japan:D (CERO)  Mexico:C  New Zealand:R13  Singapore:ADV16  South Korea:18  United Kingdom:16 (PEGI)  United States:M,"There's a boss fight where in one phase the boss is covered in scales instead of clothers but no nudity, essentially a lizard with a human head.",You can collect ashes for questlines nothing serious.,--,Potions and flasks can be drunk to inflict positive effects on the player.,"There are many disturbing and/or shocking moments. One boss cuts off its arm in a skippable cutscene, and another is depicted eating monsters (no blood or gore is shown).",9437cc3e-e4be-4db9-b7ef-ba99f4573529
40,Australia:MA15+  Australia:R18+ (re-rating)  France:18  Germany:16  Japan:D (CERO)  Mexico:C  New Zealand:R13  Singapore:ADV16  South Korea:18  United Kingdom:16 (PEGI)  United States:M,--,"Usual violence and blood, no dismemberment, Can't even compare to Mortal Kombat.",Mild,--,"Some of the enemies and creatures feature very disturbing designs. These included a creature with many limbs and a human face inside, a centipede creature, and many other bizzare and disfigured creatures.",9437cc3e-e4be-4db9-b7ef-ba99f4573529
